ID,0.405,0.46,0.523,0.594,0.675,0.767,0.872,0.991,1.13,1.28,1.45,1.65,1.88,2.13,2.42,2.75,3.12,3.55,4.03,4.58,5.21,5.92,6.72,7.64,8.68,9.86,11.2,12.7,14.5,16.4,18.7,21.2,24.1,27.4,31.1,35.3,40.1,45.6,51.8,58.9,66.9,76,86.4,98.1,111,127,144,163,186,211,240,272,310,352,400,454,516,586,666,756,859,976,1110,2000,4000,6000,Sum_weight,Recovery
PALSED_280822,0,0,0,0,0,0,0,0,0,0,0.07008288,0.11013024,0.16018944,0.2002368,0.22026048,0.23027232,0.22026048,0.21024864,0.2002368,0.21024864,0.23027232,0.26030784,0.31036704,0.36042624,0.4004736,0.43050912,0.43050912,0.39046176,0.31036704,0.2002368,0.08009472,0,0.0500592,0.32037888,0.87103008,1.76208384,2.99354016,4.49531616,6.13725792,7.7091168,8.98062048,9.78156768,9.9617808,9.511248,8.49004032,7.06835904,5.46646464,3.88459392,2.49294816,1.42168128,0.7008288,0.31036704,0.18021312,0.2002368,0.3003552,0.38044992,0.42049728,0.39046176,0.3003552,0.2002368,0.08009472,0.02002368,0,0.741,0.507,0.6757,102.0421,100
PALSED_091022,0,0,0,0,0,0,0,0,0,0,0,0.16613829,0.27689715,0.38765601,0.46149525,0.53533449,0.57225411,0.59071392,0.62763354,0.66455316,0.71993259,0.77531202,0.84915126,0.94145031,1.05220917,1.18142784,1.31064651,1.40294556,1.45832499,1.45832499,1.38448575,1.27372689,1.19988765,1.21834746,1.45832499,2.04903891,3.08278827,4.57803288,6.51631293,8.74994994,11.02050657,13.03262586,14.52787047,15.24780306,15.10012458,14.10329484,12.46037175,10.39287303,8.23307526,6.22095597,4.59649269,3.39660504,2.5843734,2.06749872,1.67984271,1.32910632,0.95991012,0.5537943,0.1845981,0,0,0,0,3.7855,1.8364,1.0757,191.3326196,100.0192998
PALSED_261222,0,0,0,0,0,0,0,0,0,0,0,0.10795981,0.16965113,0.23134245,0.27761094,0.3084566,0.3084566,0.32387943,0.32387943,0.33930226,0.38557075,0.43183924,0.49353056,0.58606754,0.67860452,0.75571867,0.83283282,0.89452414,0.90994697,0.87910131,0.83283282,0.81740999,0.89452414,1.12586659,1.60397432,2.43680714,3.62436505,5.16664805,6.9402735,8.80643593,10.50294723,11.82931061,12.58502928,12.6467206,12.0298074,10.84224949,9.23827517,7.46464972,5.73729276,4.22585542,3.05372034,2.23631035,1.75820262,1.51143734,1.41890036,1.35720904,1.26467206,1.09502093,0.86367848,0.58606754,0.32387943,0.12338264,0,2.451,2.4326,1.7929,160.8585315,99.9712448
PALSED_220123,0,0,0,0,0,0,0,0,0,0,0,0.15406785,0.2396611,0.32525435,0.3766103,0.42796625,0.4450849,0.4450849,0.4450849,0.46220355,0.49644085,0.53067815,0.59915275,0.684746,0.7874579,0.90728845,1.01000035,1.11271225,1.1640682,1.14694955,1.07847495,0.9928817,0.9244071,0.97576305,1.24966145,1.90017015,2.99576375,4.5877982,6.62491755,8.95305395,11.3325463,13.47237755,15.064412,15.86898855,15.749158,14.722039,12.92458075,10.613563,8.09712145,5.6491545,3.50932325,1.6776277,0.46220355,0,0,0,0,0,0,0,0,0,0,5.2953,5.3377,4.2599,186.0794,100
ZCSED_081022,0.13452318,0.2445876,0.35465202,0.41579892,0.41579892,0.35465202,0.26904636,0.22012884,0.2445876,0.37911078,0.66038652,1.02726792,1.45529622,1.87109514,2.21351778,2.47033476,2.66600484,2.83721616,2.98396872,3.1184919,3.22855632,3.27747384,3.28970322,3.25301508,3.20409756,3.15518004,3.10626252,3.09403314,3.1184919,3.1796388,3.28970322,3.43645578,3.61989648,3.84002532,4.07238354,4.29251238,4.48818246,4.61047626,4.6471644,4.56155874,4.37811804,4.08461292,3.70550214,3.28970322,2.83721616,2.36027034,1.87109514,1.35746118,0.86828598,0.39134016,0.02445876,0,0,0,0,0,0,0,0,0,0,0,0,3.7376,2.9502,0.893,129.8501412,99.9811674
COCSED_100922,0,0,0,0,0,0,0,0,0,0,0,0.03690445,0.0603891,0.0805188,0.1006485,0.1140683,0.1274881,0.13755295,0.15097275,0.16439255,0.1811673,0.1945871,0.21136185,0.22478165,0.23820145,0.2549762,0.27175095,0.2885257,0.3086554,0.335495,0.36568955,0.4093039,0.4629831,0.53343705,0.61395585,0.7112494,0.8186078,0.92932115,1.0400345,1.13732805,1.21784685,1.27823595,1.3151404,1.33191515,1.33191515,1.31849535,1.2950107,1.26481615,1.23797655,1.2144919,1.19100725,1.17087755,1.1473929,1.1138434,1.06351915,0.98971025,0.8924167,0.77499345,0.6374405,0.4898227,0.35226975,0.2281366,0.11071335,12.6106,7.9553,3.3666,57.40483615,99.86575998
GEOSED_061122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02781552,0.11126208,0.12516984,0.15298536,0.16689312,0.18080088,0.18080088,0.18080088,0.18080088,0.18080088,0.18080088,0.2086164,0.22252416,0.26424744,0.29206296,0.30597072,0.29206296,0.26424744,0.19470864,0.11126208,0,0,0,0.26424744,0.80665008,1.72456224,3.00407616,4.5895608,6.34193856,8.08040856,9.63807768,10.8480528,11.6129796,11.8911348,11.6825184,11.04276144,10.05531048,8.80361208,7.38502056,5.89689024,4.43657544,3.129246,2.0166252,1.16825184,0.58412592,0.22252416,0.04172328,0,0,6.7556,6.5588,3.949,156.3549078,100.0088958
GEOSED_240123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11086888,0.1385861,0.16630332,0.18016193,0.19402054,0.19402054,0.19402054,0.18016193,0.18016193,0.18016193,0.18016193,0.19402054,0.20787915,0.23559637,0.26331359,0.2771722,0.2771722,0.26331359,0.22173776,0.15244471,0.05543444,0,0,0,0,0.38804108,1.26113351,2.75786339,4.8505135,7.33120469,9.92276476,12.20943541,13.85861,14.57925772,14.2743683,13.0270934,11.07302939,8.74478291,6.3749606,4.25459327,2.56384285,1.385861,0.66521328,0.31874803,0.20787915,0.23559637,0.30488942,0.38804108,0.44347552,0.47119274,3.1861,3.2171,1.2462,143.5885055,98.18990976
NELSED_240123,0,0,0,0,0,0,0,0,0,0.00785572,0.040587887,0.068082907,0.0981965,0.128310093,0.155805113,0.176099057,0.191810497,0.205558007,0.218650873,0.23370767,0.246145893,0.25923876,0.269713053,0.280187347,0.291316283,0.303754507,0.31815666,0.335177387,0.35743526,0.383620993,0.417662447,0.460214263,0.511276443,0.57346756,0.648751543,0.737128393,0.835979537,0.943995687,1.057903627,1.173775497,1.285719507,1.39046244,1.48473108,1.56525221,1.630716543,1.680469437,1.713201603,1.731531617,1.732840903,1.717129463,1.683742653,1.627443327,1.54364898,1.42974104,1.28441022,1.10962045,0.913882093,0.709633373,0.509967157,0.331249527,0.172171197,0.05695397,0.020293943,3.5614,2.2903,16.8978,62.0038782,99.96095027
